tube_id,layer_id,sector_id,x,y,z,inner_radius,outer_radius,tube_length,angle,skewed
298,2,4,18.3684,-3.535,35,0.5,0.501,150,0,0
299,2,4,18.3684,-2.525,35,0.5,0.501,150,0,0
300,2,4,18.3684,-1.515,35,0.5,0.501,150,0,0
301,2,4,18.3684,-0.505,35,0.5,0.501,150,0,0
302,2,4,18.3684,0.505,35,0.5,0.501,150,0,0
303,2,4,18.3684,1.515,35,0.5,0.501,150,0,0
304,2,4,18.3684,2.525,35,0.5,0.501,150,0,0
305,2,4,18.3684,3.535,35,0.5,0.501,150,0,0
306,2,4,18.3684,4.545,35,0.5,0.501,150,0,0
307,2,4,18.3684,5.555,35,0.5,0.501,150,0,0
308,2,4,18.3684,6.565,35,0.5,0.501,150,0,0
309,2,4,18.3684,7.575,35,0.5,0.501,150,0,0
310,2,4,18.3684,8.585,35,0.5,0.501,150,0,0
311,2,4,18.3684,9.595,35,0.5,0.501,150,0,0
312,2,5,18.3684,10.605,35,0.5,0.501,150,0,0
313,2,5,17.4937,11.11,35,0.5,0.501,150,0,0
314,2,5,16.619,11.615,35,0.5,0.501,150,0,0
315,2,5,15.7443,12.12,35,0.5,0.501,150,0,0
316,2,5,14.8697,12.625,35,0.5,0.501,150,0,0
317,2,5,13.995,13.13,35,0.5,0.501,150,0,0
318,2,5,13.1203,13.635,35,0.5,0.501,150,0,0
319,2,5,12.2456,14.14,35,0.5,0.501,150,0,0
320,2,5,11.3709,14.645,35,0.5,0.501,150,0,0
321,2,5,10.4962,15.15,35,0.5,0.501,150,0,0
322,2,5,9.62154,15.655,35,0.5,0.501,150,0,0
323,2,5,8.74686,16.16,35,0.5,0.501,150,0,0
324,2,5,7.87217,16.665,35,0.5,0.501,150,0,0
325,2,5,6.99749,17.17,35,0.5,0.501,150,0,0
326,2,5,6.1228,17.675,35,0.5,0.501,150,0,0
327,2,5,5.24811,18.18,35,0.5,0.501,150,0,0
328,2,5,4.37343,18.685,35,0.5,0.501,150,0,0
329,2,5,3.49874,19.19,35,0.5,0.501,150,0,0
330,2,5,2.62406,19.695,35,0.5,0.501,150,0,0
331,3,0,-2.62406,20.705,35,0.5,0.501,150,0,0
332,3,0,-3.49874,20.2,35,0.5,0.501,150,0,0
333,3,0,-4.37343,19.695,35,0.5,0.501,150,0,0
334,3,0,-5.24811,19.19,35,0.5,0.501,150,0,0
335,3,0,-6.1228,18.685,35,0.5,0.501,150,0,0
336,3,0,-6.99749,18.18,35,0.5,0.501,150,0,0
337,3,0,-7.87217,17.675,35,0.5,0.501,150,0,0
338,3,0,-8.74686,17.17,35,0.5,0.501,150,0,0
339,3,0,-9.62154,16.665,35,0.5,0.501,150,0,0
340,3,0,-10.4962,16.16,35,0.5,0.501,150,0,0
341,3,0,-11.3709,15.655,35,0.5,0.501,150,0,0
342,3,0,-12.2456,15.15,35,0.5,0.501,150,0,0
343,3,0,-13.1203,14.645,35,0.5,0.501,150,0,0
344,3,0,-13.995,14.14,35,0.5,0.501,150,0,0
345,3,0,-14.8697,13.635,35,0.5,0.501,150,0,0
346,3,0,-15.7443,13.13,35,0.5,0.501,150,0,0
347,3,0,-16.619,12.625,35,0.5,0.501,150,0,0
348,3,0,-17.4937,12.12,35,0.5,0.501,150,0,0
349,3,0,-18.3684,11.615,35,0.5,0.501,150,0,0
350,3,0,-19.2431,11.11,35,0.5,0.501,150,0,0
351,3,1,-19.2431,10.1,35,0.5,0.501,150,0,0
352,3,1,-19.2431,9.09,35,0.5,0.501,150,0,0
353,3,1,-19.2431,8.08,35,0.5,0.501,150,0,0
354,3,1,-19.2431,7.07,35,0.5,0.501,150,0,0
355,3,1,-19.2431,6.06,35,0.5,0.501,150,0,0
356,3,1,-19.2431,5.05,35,0.5,0.501,150,0,0
